driver_age_band,driver_sex,driver_experience,driver_education,driver_vehicle_relation,vehicle_type,vehicle_owner,vehicle_service_year,vehicle_defect,weather,road_surface,light_condition,time_of_day,synthetic_severity_label
18-30,Male,2-5yr,Junior high school,Other,Bajaj,Organization,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,Above high school,Owner,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Junior high school,Owner,Motorcycle,Organization,1-2yr,No defect,Normal,Gravel,Darkness - lit,Evening,Slight
18-30,Male,2-5yr,Above high school,Employee,Automobile,Other,5-10yrs,7,Unknown,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Elementary school,Owner,Automobile,Owner,2-5yrs,Unknown,Normal,Unknown,Daylight,Morning,Slight
18-30,Male,2-5yr,Junior high school,Employee,Automobile,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Night,Slight
18-30,Male,5-10yr,Elementary school,Employee,Bajaj,Owner,Below 1yr,No defect,Normal,Gravel,Daylight,Evening,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,2-5yr,Above high school,Owner,Motorcycle,Organization,2-5yrs,No defect,Other,Gravel,Daylight,Evening,Slight
18-30,Male,5-10yr,Junior high school,Owner,Automobile,Owner,Above 10yr,No defect,Cloudy,Other,Darkness - lit,Afternoon,Slight
18-30,Male,Below 1yr,High school,Owner,Lorry,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,High school,Employee,Public (12 seats),Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
Unknown,Male,Below 1yr,High school,Employee,Bajaj,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Writing & reading,Owner,Bajaj,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Automobile,Organization,Above 10yr,No defect,Normal,Unknown,Darkness - unlit,Morning,Slight
31-50,Male,2-5yr,Junior high school,Employee,Automobile,Governmental,2-5yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
Over 51,Male,1-2yr,Elementary school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Female,2-5yr,High school,Owner,Unknown,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Night,Slight
31-50,Male,Above 10yr,Elementary school,Employee,Bajaj,Owner,2-5yrs,7,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Junior high school,Owner,Motorcycle,Owner,2-5yrs,Unknown,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,5-10yr,Writing & reading,Employee,Automobile,Organization,Above 10yr,5,Normal,Gravel,Daylight,Morning,Slight
18-30,Male,2-5yr,High school,Employee,Motorcycle,Governmental,2-5yrs,5,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,Below 1yr,Writing & reading,Other,Automobile,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,1-2yr,High school,Employee,Bajaj,Owner,Below 1yr,No defect,Raining,Asphalt,Unknown,Morning,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Writing & reading,Employee,Bajaj,Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Writing & reading,Employee,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Under 18,Male,Above 10yr,Elementary school,Employee,Motorcycle,Owner,Above 10yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,5-10yr,Junior high school,Owner,Bajaj,Owner,1-2yr,No defect,Raining,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,No Licence,Elementary school,Owner,Automobile,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Employee,Motorcycle,Governmental,5-10yrs,Unknown,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,1-2yr,Junior high school,Employee,Automobile,Owner,1-2yr,Unknown,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Employee,Public (>45 seats),Owner,Below 1yr,No defect,Normal,Asphalt,Darkness - unlit,Morning,Slight
18-30,Male,2-5yr,Junior high school,Owner,Automobile,Organization,2-5yrs,No defect,Unknown,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Junior high school,Owner,Other,Owner,Above 10yr,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
31-50,Male,No Licence,Writing & reading,Owner,Public (>45 seats),Owner,Unknown,No defect,Cloudy,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,Above 10yr,Unknown,Owner,Bajaj,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Evening,Slight
31-50,Male,Above 10yr,Above high school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,Junior high school,Employee,Public (12 seats),Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Illiterate,Owner,Bajaj,Owner,2-5yrs,No defect,Normal,Gravel,Daylight,Evening,Slight
31-50,Male,1-2yr,High school,Employee,Motorcycle,Owner,2-5yrs,No defect,Normal,Earth,Daylight,Morning,Slight
18-30,Male,Below 1yr,Writing & reading,Owner,Bajaj,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,Above 10yr,High school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,High school,Owner,Bajaj,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,No Licence,Illiterate,Owner,Automobile,Owner,2-5yrs,No defect,Unknown,Asphalt,Daylight,Morning,Slight
31-50,Unknown,1-2yr,Junior high school,Owner,Public (>45 seats),Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Elementary school,Owner,Automobile,Owner,1-2yr,No defect,Normal,Unknown,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Elementary school,Employee,Automobile,Owner,2-5yrs,No defect,Other,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,High school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,2-5yr,Above high school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Darkness - unlit,Afternoon,Slight
18-30,Male,5-10yr,Junior high school,Employee,Bajaj,Owner,1-2yr,No defect,Normal,Earth,Darkness - lit,Evening,Slight
31-50,Male,5-10yr,Above high school,Employee,Automobile,Owner,1-2yr,No defect,Raining,Asphalt,Daylight,Night,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Motorcycle,Other,5-10yrs,No defect,Cloudy,Earth,Daylight,Night,Slight
31-50,Male,No Licence,Unknown,Owner,Lorry,Organization,1-2yr,No defect,Normal,Gravel,Daylight,Night,Slight
18-30,Male,1-2yr,High school,Employee,Motorcycle,Owner,5-10yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Below 1yr,Junior high school,Employee,Automobile,Owner,Below 1yr,No defect,Unknown,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Elementary school,Employee,Bajaj,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Above high school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Female,Above 10yr,Junior high school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Unknown,Morning,Slight
31-50,Male,Below 1yr,High school,Owner,Bicycle,Owner,5-10yrs,7,Unknown,Other,Daylight,Afternoon,Slight
18-30,Female,Above 10yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Unknown,Asphalt,Daylight,Night,Slight
18-30,Male,5-10yr,Elementary school,Owner,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Above high school,Employee,Automobile,Governmental,1-2yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Elementary school,Owner,Automobile,Owner,5-10yrs,No defect,Cloudy,Earth,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Public (>45 seats),Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Female,2-5yr,Elementary school,Employee,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Under 18,Male,2-5yr,Junior high school,Owner,Motorcycle,Organization,2-5yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
18-30,Female,2-5yr,Above high school,Other,Motorcycle,Organization,Unknown,No defect,Normal,Earth,Darkness - unlit,Evening,Slight
18-30,Male,5-10yr,High school,Owner,Automobile,Organization,1-2yr,No defect,Windy,Gravel,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Owner,Bajaj,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Night,Slight
18-30,Male,Above 10yr,High school,Employee,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,Unknown,Above high school,Owner,Motorcycle,Organization,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Junior high school,Other,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,High school,Owner,Motorcycle,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,5-10yr,High school,Employee,Public (12 seats),Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,Below 1yr,Above high school,Employee,Automobile,Governmental,2-5yrs,7,Normal,Unknown,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Owner,Automobile,Owner,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Unknown,Employee,Motorcycle,Owner,1-2yr,No defect,Unknown,Gravel,Daylight,Afternoon,Slight
Unknown,Male,Below 1yr,High school,Unknown,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Darkness - unlit,Afternoon,Slight
18-30,Male,Below 1yr,Elementary school,Other,Bajaj,Owner,2-5yrs,No defect,Normal,Other,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Illiterate,Employee,Automobile,Owner,Unknown,No defect,Normal,Earth,Daylight,Afternoon,Slight
31-50,Female,2-5yr,Junior high school,Owner,Automobile,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,No Licence,High school,Employee,Automobile,Owner,Below 1yr,No defect,Unknown,Gravel,Daylight,Morning,Slight
18-30,Male,No Licence,Junior high school,Owner,Lorry,Owner,1-2yr,7,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Junior high school,Unknown,Automobile,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Writing & reading,Owner,Bajaj,Owner,1-2yr,No defect,Unknown,Earth,Daylight,Afternoon,Slight
18-30,Male,2-5yr,High school,Owner,Motorcycle,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Female,No Licence,High school,Owner,Automobile,Governmental,Above 10yr,No defect,Normal,Earth,Daylight,Night,Slight
31-50,Male,2-5yr,Junior high school,Employee,Motorcycle,Owner,1-2yr,No defect,Cloudy,Asphalt,Unknown,Afternoon,Slight
Unknown,Male,5-10yr,Elementary school,Owner,Automobile,Owner,1-2yr,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Motorcycle,Governmental,5-10yrs,Unknown,Normal,Gravel,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Writing & reading,Owner,Motorcycle,Other,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,2-5yr,Elementary school,Employee,Bajaj,Governmental,1-2yr,No defect,Normal,Unknown,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Elementary school,Owner,Unknown,Organization,Above 10yr,No defect,Normal,Earth,Daylight,Night,Slight
31-50,Male,1-2yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Gravel,Unknown,Morning,Slight
31-50,Male,Above 10yr,Junior high school,Employee,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,No Licence,Above high school,Employee,Unknown,Organization,Above 10yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
Over 51,Male,5-10yr,Unknown,Employee,Automobile,Organization,Below 1yr,5,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Junior high school,Unknown,Motorcycle,Owner,1-2yr,No defect,Normal,Gravel,Daylight,Morning,Slight
18-30,Male,Above 10yr,Illiterate,Owner,Motorcycle,Other,5-10yrs,No defect,Normal,Asphalt,Unknown,Afternoon,Slight
18-30,Female,5-10yr,Elementary school,Employee,Automobile,Other,Below 1yr,Unknown,Normal,Asphalt,Daylight,Morning,Slight
31-50,Female,5-10yr,High school,Owner,Motorcycle,Governmental,Below 1yr,No defect,Cloudy,Asphalt,Daylight,Afternoon,Slight
Unknown,Male,1-2yr,Elementary school,Employee,Motorcycle,Owner,2-5yrs,No defect,Raining,Asphalt,Darkness - lit,Morning,Slight
Unknown,Female,5-10yr,Above high school,Owner,Public (12 seats),Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,1-2yr,Elementary school,Owner,Motorcycle,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Over 51,Male,2-5yr,Junior high school,Owner,Bajaj,Organization,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Employee,Automobile,Owner,1-2yr,No defect,Windy,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,High school,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Gravel,Darkness - lit,Afternoon,Slight
18-30,Female,2-5yr,High school,Other,Automobile,Owner,Above 10yr,No defect,Normal,Other,Daylight,Evening,Slight
18-30,Male,Above 10yr,Above high school,Owner,Automobile,Organization,Below 1yr,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Organization,Below 1yr,Unknown,Normal,Asphalt,Daylight,Night,Slight
31-50,Male,2-5yr,High school,Other,Public (>45 seats),Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Unknown,Other,Public (12 seats),Organization,Below 1yr,No defect,Normal,Asphalt,Daylight,Night,Slight
Over 51,Male,1-2yr,Above high school,Owner,Automobile,Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,2-5yr,Elementary school,Owner,Public (12 seats),Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Female,5-10yr,Writing & reading,Employee,Bajaj,Other,1-2yr,5,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,1-2yr,Junior high school,Owner,Bicycle,Other,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Elementary school,Other,Motorcycle,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,Junior high school,Owner,Public (>45 seats),Owner,5-10yrs,No defect,Other,Asphalt,Daylight,Afternoon,Slight
18-30,Female,2-5yr,High school,Other,Other,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Night,Slight
31-50,Male,2-5yr,Junior high school,Other,Lorry,Governmental,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Elementary school,Owner,Automobile,Owner,Above 10yr,5,Normal,Asphalt,Daylight,Night,Slight
Over 51,Male,1-2yr,Elementary school,Owner,Automobile,Owner,2-5yrs,No defect,Unknown,Unknown,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Above high school,Employee,Automobile,Owner,1-2yr,No defect,Cloudy,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,1-2yr,High school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
Over 51,Male,5-10yr,High school,Employee,Automobile,Governmental,2-5yrs,5,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,1-2yr,High school,Other,Bajaj,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Unknown,Bajaj,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,High school,Unknown,Automobile,Organization,1-2yr,No defect,Cloudy,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Employee,Motorcycle,Owner,5-10yrs,No defect,Cloudy,Earth,Daylight,Evening,Slight
18-30,Male,1-2yr,High school,Employee,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,High school,Owner,Automobile,Unknown,1-2yr,No defect,Normal,Asphalt,Darkness - lit,Evening,Slight
31-50,Male,1-2yr,Elementary school,Owner,Automobile,Owner,Above 10yr,5,Other,Asphalt,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Writing & reading,Owner,Lorry,Owner,5-10yrs,No defect,Normal,Other,Daylight,Morning,Slight
18-30,Male,Above 10yr,Above high school,Employee,Public (>45 seats),Owner,2-5yrs,No defect,Other,Unknown,Daylight,Evening,Slight
18-30,Male,5-10yr,Illiterate,Owner,Bajaj,Owner,Above 10yr,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,2-5yr,High school,Owner,Motorcycle,Owner,5-10yrs,No defect,Unknown,Asphalt,Daylight,Evening,Slight
Unknown,Male,Above 10yr,Junior high school,Owner,Other,Owner,5-10yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,1-2yr,Elementary school,Owner,Lorry,Organization,1-2yr,No defect,Normal,Gravel,Daylight,Evening,Slight
31-50,Male,Below 1yr,Junior high school,Owner,Bajaj,Organization,5-10yrs,Unknown,Normal,Gravel,Darkness - lit,Evening,Slight
18-30,Male,No Licence,High school,Unknown,Public (12 seats),Other,Above 10yr,No defect,Windy,Asphalt,Daylight,Morning,Slight
31-50,Male,1-2yr,Above high school,Employee,Automobile,Other,2-5yrs,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,Above 10yr,Above high school,Owner,Other,Governmental,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,1-2yr,Elementary school,Owner,Automobile,Owner,2-5yrs,No defect,Raining,Asphalt,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Junior high school,Unknown,Motorcycle,Organization,Above 10yr,No defect,Normal,Gravel,Unknown,Morning,Slight
Over 51,Male,2-5yr,High school,Unknown,Bajaj,Owner,1-2yr,No defect,Normal,Asphalt,Daylight,Night,Slight
18-30,Male,5-10yr,Junior high school,Owner,Automobile,Owner,1-2yr,No defect,Normal,Unknown,Darkness - unlit,Morning,Slight
18-30,Male,1-2yr,High school,Other,Bajaj,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,High school,Other,Bicycle,Governmental,Below 1yr,No defect,Normal,Asphalt,Unknown,Evening,Slight
31-50,Male,Above 10yr,Writing & reading,Employee,Automobile,Owner,5-10yrs,No defect,Normal,Asphalt,Darkness - lit,Evening,Slight
31-50,Male,1-2yr,Elementary school,Owner,Automobile,Organization,1-2yr,No defect,Normal,Asphalt,Unknown,Afternoon,Slight
31-50,Female,1-2yr,Junior high school,Other,Public (12 seats),Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Illiterate,Employee,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Afternoon,Slight
Over 51,Male,Unknown,Above high school,Owner,Public (12 seats),Other,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Female,Above 10yr,Elementary school,Owner,Bajaj,Organization,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Evening,Slight
18-30,Male,2-5yr,Writing & reading,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,2-5yr,Elementary school,Owner,Motorcycle,Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Above 10yr,High school,Owner,Bajaj,Governmental,5-10yrs,No defect,Cloudy,Asphalt,Daylight,Evening,Slight
31-50,Male,Above 10yr,Illiterate,Unknown,Public (>45 seats),Owner,1-2yr,No defect,Windy,Asphalt,Daylight,Morning,Slight
Under 18,Male,Below 1yr,High school,Owner,Automobile,Organization,Below 1yr,No defect,Normal,Gravel,Daylight,Afternoon,Slight
18-30,Male,Above 10yr,Elementary school,Owner,Motorcycle,Owner,Unknown,7,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Male,5-10yr,Junior high school,Employee,Motorcycle,Other,5-10yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Writing & reading,Owner,Unknown,Organization,1-2yr,Unknown,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,Above high school,Owner,Automobile,Governmental,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,1-2yr,High school,Employee,Motorcycle,Governmental,5-10yrs,No defect,Cloudy,Earth,Daylight,Evening,Slight
18-30,Unknown,5-10yr,High school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
Unknown,Male,Above 10yr,Elementary school,Owner,Lorry,Organization,Unknown,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
Under 18,Male,Above 10yr,Junior high school,Owner,Unknown,Governmental,1-2yr,No defect,Cloudy,Earth,Daylight,Morning,Slight
18-30,Male,2-5yr,Elementary school,Owner,Automobile,Owner,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,Below 1yr,Illiterate,Employee,Automobile,Other,Above 10yr,No defect,Raining,Asphalt,Daylight,Morning,Slight
18-30,Male,5-10yr,Unknown,Employee,Automobile,Owner,Below 1yr,No defect,Unknown,Gravel,Daylight,Night,Slight
31-50,Male,2-5yr,High school,Owner,Automobile,Governmental,5-10yrs,No defect,Raining,Asphalt,Daylight,Evening,Slight
31-50,Male,1-2yr,Junior high school,Owner,Motorcycle,Owner,2-5yrs,No defect,Normal,Asphalt,Unknown,Afternoon,Slight
31-50,Male,5-10yr,Illiterate,Employee,Motorcycle,Organization,5-10yrs,No defect,Normal,Asphalt,Daylight,Evening,Slight
18-30,Male,2-5yr,Writing & reading,Owner,Lorry,Owner,2-5yrs,No defect,Cloudy,Unknown,Darkness - lit,Morning,Slight
31-50,Male,1-2yr,Above high school,Employee,Automobile,Owner,Below 1yr,No defect,Normal,Earth,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Elementary school,Employee,Bajaj,Governmental,Above 10yr,No defect,Windy,Earth,Daylight,Evening,Slight
18-30,Male,1-2yr,Above high school,Owner,Public (12 seats),Owner,Below 1yr,5,Windy,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,5-10yr,High school,Owner,Motorcycle,Organization,2-5yrs,No defect,Normal,Gravel,Daylight,Night,Slight
31-50,Male,Above 10yr,Illiterate,Unknown,Automobile,Organization,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
Unknown,Male,1-2yr,High school,Owner,Public (12 seats),Organization,1-2yr,No defect,Normal,Asphalt,Daylight,Evening,Slight
31-50,Male,2-5yr,High school,Owner,Bicycle,Unknown,2-5yrs,No defect,Normal,Asphalt,Darkness - lit,Morning,Slight
18-30,Male,2-5yr,High school,Owner,Motorcycle,Owner,5-10yrs,Unknown,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,1-2yr,Junior high school,Owner,Other,Unknown,1-2yr,Unknown,Other,Gravel,Daylight,Evening,Slight
18-30,Male,5-10yr,High school,Owner,Automobile,Owner,2-5yrs,7,Normal,Asphalt,Darkness - lit,Afternoon,Slight
31-50,Male,5-10yr,High school,Unknown,Motorcycle,Owner,1-2yr,No defect,Normal,Asphalt,Unknown,Morning,Slight
31-50,Male,No Licence,Junior high school,Owner,Automobile,Governmental,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
18-30,Female,1-2yr,Junior high school,Owner,Public (12 seats),Unknown,2-5yrs,No defect,Cloudy,Gravel,Unknown,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Other,Automobile,Other,2-5yrs,No defect,Normal,Asphalt,Daylight,Morning,Slight
31-50,Male,5-10yr,High school,Owner,Motorcycle,Owner,Above 10yr,No defect,Normal,Gravel,Daylight,Afternoon,Slight
Under 18,Male,2-5yr,Junior high school,Employee,Bajaj,Owner,5-10yrs,No defect,Windy,Gravel,Daylight,Morning,Slight
18-30,Male,2-5yr,Elementary school,Owner,Automobile,Owner,5-10yrs,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Other,Organization,2-5yrs,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Writing & reading,Employee,Public (>45 seats),Organization,5-10yrs,No defect,Normal,Gravel,Daylight,Afternoon,Slight
31-50,Male,5-10yr,Elementary school,Employee,Automobile,Organization,2-5yrs,No defect,Windy,Gravel,Unknown,Afternoon,Slight
18-30,Male,2-5yr,Junior high school,Owner,Automobile,Organization,2-5yrs,No defect,Normal,Unknown,Daylight,Afternoon,Slight
Unknown,Male,5-10yr,Illiterate,Owner,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,Above 10yr,Above high school,Owner,Automobile,Organization,Below 1yr,No defect,Normal,Gravel,Daylight,Morning,Slight
31-50,Male,2-5yr,High school,Other,Automobile,Organization,5-10yrs,No defect,Cloudy,Asphalt,Darkness - lit,Afternoon,Slight
18-30,Male,Unknown,Junior high school,Employee,Bajaj,Owner,2-5yrs,No defect,Other,Asphalt,Daylight,Afternoon,Slight
18-30,Male,2-5yr,Elementary school,Owner,Automobile,Owner,Above 10yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Junior high school,Other,Lorry,Owner,Below 1yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
Under 18,Male,Unknown,Junior high school,Owner,Motorcycle,Owner,2-5yrs,5,Normal,Gravel,Unknown,Morning,Slight
31-50,Male,Above 10yr,Elementary school,Owner,Motorcycle,Owner,Unknown,Unknown,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,Unknown,Junior high school,Employee,Motorcycle,Governmental,Below 1yr,No defect,Normal,Asphalt,Daylight,Afternoon,Slight
31-50,Male,2-5yr,Unknown,Employee,Public (12 seats),Owner,Unknown,No defect,Normal,Asphalt,Daylight,Morning,Slight
18-30,Male,1-2yr,Junior high school,Other,Automobile,Organization,Above 10yr,No defect,Normal,Asphalt,Daylight,Morning,Slight
